,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
The Samaritan,11.52128,12000000,5.2,26,-4759.015867,0
The Adventurer: The Curse of the Midas Box,5.955203,25000000,5.1,20,-3905.860447,0
The Guillotines,2.080781,15000000,5.4,14,-2834.538752,0
The Duel,5.927867,10000000,5.5,26,-2221.222222,0
The Good Doctor,8.278079,6000000,5,66,-1151.516327,0
5 Days of War,3.174512,20000000,5.8,34,-1143.230219,0
Welcome to the Punch,7.67857,8500000,5.7,47,-871.0631989,0
Laurence Anyways,8.59498,9500000,7.7,84,-774.5102041,0
Best Man Down,5.875708,1500000,6.1,31,-772.993808,0
Cherry 2000,2.849779,10000000,6,38,-713.2857143,0
All The Queen's Men,1.652275,15000000,6.1,7,-651.173913,0
Strangerland,5.975657,10000000,5.1,40,-571.3443223,0
The Red Baron,4.918419,18000000,6.4,17,-446.3272199,0
The Sacrament,5.350658,4000000,5.6,64,-432.7924303,0
Barefoot,5.939334,6000000,6.3,17,-397.1155862,0
13 Sins,9.067788,5000000,6.2,64,-361.0826997,0
The Idiots,9.174221,2500000,6.7,71,-344.5425017,0
A Troll in Central Park,3.612089,23000000,4.4,14,-321.2732877,0
Stolen,2.300459,2000000,6.5,67,-272.7476047,0
Major Dundee,3.055936,3800000,6.2,97,-254.4965373,0
Walk of Shame,7.844705,15000000,5.8,15,-252.3398639,0
Mr. Right,7.317816,8000000,6.3,44,-229.5874215,0
Naqoyqatsi,2.850011,3000000,6.1,48,-224.4283138,0
"An Alan Smithee Film: Burn, Hollywood, Burn",1.453096,10000000,3,7,-217.4407698,0
From the Land of the Moon,6.165491,10300000,6.7,32,-214.7158415,0
The Boondock Saints,12.457908,6000000,7.2,27,-195.908536,0
Silent Trigger,1.672406,15000000,5,20,-195.3813464,0
Kung Fu Jungle,6.636514,25000000,6.5,75,-192.6258374,0
Standing Tall,4.206655,5000000,7.3,81,-190.24847,0
Zaytoun,3.549738,8000000,6.6,46,-187.9912592,0
Song One,6.743182,6000000,5.5,32,-185.0407429,0
Road to Nowhere,1.744659,5000000,5,73,-183.8702211,0
Valhalla Rising,8.651468,5641880,5.9,73,-183.1464848,0
Inhale,4.163207,10000000,6.3,38,-180.5244423,0
The Ottoman Lieutenant,13.256679,40000000,6.5,19,-164.9902564,0
Women in Trouble,7.052376,3000000,5.2,29,-164.7733326,0
Assassination of a High School President,6.67905,11500000,6.1,50,-164.315393,0
Meet Monica Velour,1.608163,5000000,5.5,48,-156.9828747,0
Aloft,3.851653,8000000,5.1,17,-149.698866,0
Metropolis,14.487867,92620000,8,87,-141.3998573,0
Special,2.003309,1000000,6.6,58,-137.8503194,0
The Divide,7.406609,3000000,5.7,92,-135.3636364,0
Standing Still,2.095106,1700000,5.7,38,-132.2079611,0
Tetro,2.90333,15000000,6.7,71,-131.4842565,0
Samba,11.024334,20000000,6.4,61,-130.9870653,0
Hallam Foe,8.762536,8000000,6.8,73,-130.9239458,0
Dominion: Prequel to the Exorcist,7.892677,30000000,4.8,29,-118.2866657,0
The Bullet Vanishes,1.675406,12000000,6,92,-101.0156594,0
Alone With Her,2.392367,1000000,6.2,68,-98.82032342,0
A Street Cat Named Bob,9.609879,8000000,7.5,77,-95.73167842,0
Down,1.158196,15000000,4.1,20,-90.92922675,0
Stateside,1.054438,16000000,5.6,24,-90.78627566,0
December Boys,4.661689,4000000,6.2,41,-85.06963033,0
Wuthering Heights,5.276685,8000000,6,69,-78.27463707,0
Trust,7.778097,9500000,6.6,71,-78.16666667,0
Defendor,5.600277,3500000,6.5,75,-77.71890603,0
City Lights,10.891524,1500000,8.2,95,-77.20238778,0
The Amazing Truth About Queen Raquela,0.038876,400000,5,44,-75.11798287,0
Dirty Girl,10.964499,4000000,6.4,34,-71.56235828,0
Stonewall,3.531089,13500000,5.2,63,-70.93324595,0
Gemma Bovery,5.105914,9700000,6.2,54,-61.70159857,0
Canadian Bacon,5.391556,11000000,5.9,12,-60.76166734,0
Idiocracy,12.130803,30000000,6.3,71,-59.56898505,0
Ride with the Devil,7.059308,38000000,6.6,64,-58.83347399,0
Henry's Crime,5.145185,12000000,5.8,42,-57.55372304,0
Lolita,10.618141,62000000,7,69,-57.48747613,0
King Solomon's Mines,6.138795,12500000,5,8,-51.47096257,0
Man-Thing,6.11959,7500000,4,17,-51.44755245,0
Adore,12.260159,16000000,6.1,33,-49.15957013,0
Hatchet II,12.525758,2500000,5.6,42,-46.52490305,0
The Yellow Handkerchief,3.919317,15000000,6.4,65,-46.31861199,0
Pontypool,6.407207,1500000,6.6,84,-45.875,0
Curdled,2.781581,2300000,6.2,9,-45.35227731,0
Southland Tales,6.242588,17000000,5.2,41,-44.36442308,0
Life of Crime,17.788579,12000000,5.5,68,-44.20591293,0
Peter and Vandy,0.892007,500000,6.5,65,-43.34196524,0
Anna Karenina,5.660835,35000000,6.4,62,-43.20140687,0
Lost River,6.640704,2000000,5.8,30,-43.02280381,0
Love's Labour's Lost,5.867426,13000000,5.4,50,-42.36339862,0
House of Fools,0.870645,2500000,5.7,41,-42.20624935,0
The Big Picture,6.69473,5000000,5.9,88,-41.56659544,0
No One Lives,7.202832,2900000,5.5,48,-37.70898849,0
The Indian Runner,7.218957,7000000,6.2,74,-35.62524526,0
The Romantics,8.786269,4500000,4.8,14,-35.34307866,0
Bitter Harvest,3.573865,20000000,6.7,15,-34.89111354,0
Levity,2.400607,7500000,5.9,34,-34.85925958,0
Eye of the Dolphin,0.46335,2500000,7.1,29,-33.76858033,0
Saint John of Las Vegas,2.894924,3800000,5.9,25,-33.01025678,0
Camilla,0.50525,8500000,4.9,40,-32.86548629,0
World's Greatest Dad,5.431657,10000000,6.5,88,-32.8123415,0
In the Land of Blood and Honey,2.772269,10000000,5.8,57,-31.90805161,0
Not Fade Away,2.688548,20000000,5.4,68,-31.74437124,0
Without Limits,3.643468,25000000,6.4,79,-31.15752557,0
Winter Passing,4.456904,3500000,6.7,42,-29.7603069,0
Body Snatchers,6.559693,13000000,5.8,70,-29.31235718,0
Valmont,8.40852,33000000,6.7,48,-28.14905946,0
Freakonomics,2.444847,3000000,6.7,66,-27.91984383,0
My Life as a Zucchini,7.321152,8000000,7.7,99,-26.37110774,0
Mondays in the Sun,2.061389,4000000,7,80,-26.32203112,0
Life After Beth,5.486893,2400000,5,45,-26.1883815,0
At Play in the Fields of the Lord,2.151436,36000000,5.8,57,-25.74784141,0
Waking the Dead,1.241671,8500000,6.5,50,-24.96069856,0
Crossing Over,6.036408,25000000,6.2,15,-23.10021835,0
Sleep Dealer,3.750365,2500000,6,73,-22.2430573,0
Walker,1.799311,5800000,6.4,47,-21.56431803,0
"Police, Adjective",0.663231,1089360,6.1,79,-21.55497122,0
The Tracey Fragments,2.819298,700000,5.9,42,-21.16873575,0
All About Eve,12.06308,1400000,8,99,-21.06009801,0
JCVD,6.670933,6000000,6.6,84,-20.66917668,0
The Beaver,5.484379,21000000,6.2,62,-20.63128749,0
Maggie,12.020933,4000000,5.2,63,-20.37757065,0
Blitz,9.491865,15774948,6,48,-20.26361988,0
Tideland,6.796465,12000000,6.3,29,-20.17855107,0
Manderlay,4.568999,14200000,6.9,50,-20.03959296,0
Shadow Conspiracy,3.733574,45000000,4,3,-19.88612883,0
Carlos,4.558075,18000000,6.7,93,-19.65928365,0
The Ward,5.727987,10000000,5.8,33,-19.04112439,0
Horsemen,7.455953,20000000,5.5,20,-18.65793232,0
Citizen Ruth,2.225234,3000000,6.8,81,-18.58799909,0
Stake Land,7.814255,650000,6.2,74,-18.5518123,0
Fido,5.284805,8000000,6.6,73,-17.76947333,0
The Robber,1.824255,3900000,6.7,79,-17.70727905,0
Tracers,9.056173,11000000,5.9,23,-17.52840657,0
Hesher,5.886972,7000000,6.7,55,-17.27933965,0
Bamako,0.367324,2000000,6.4,84,-17.01801802,0
Jane Got a Gun,8.826071,25000000,5.4,42,-16.89185305,0
The Lazarus Project,11.387338,9750000,6,60,-16.47311828,0
Brooklyn Rules,2.942202,8000000,5.8,45,-16.45840535,0
Jude,3.379677,7000000,6.6,81,-16.28395062,0
W.E.,4.974482,15000000,5.8,12,-16.27237031,0
Enter the Void,8.378149,13000000,7.2,72,-16.23568742,0
Wet Hot American Summer,6.386082,5000000,6.4,38,-15.93732512,0
The Bride Wore Black,2.775402,747000,7.3,83,-15.76165687,0
Swept Away,3.492576,10000000,4.8,5,-15.70439075,0
Stolen,7.759429,35000000,5.1,67,-15.61478897,0
It's All Gone Pete Tong,2.812182,2000000,7.1,76,-15.58099818,0
The Ledge,4.883085,10000000,5.9,35,-15.36698713,0
Six-String Samurai,2.740989,2000000,5.8,57,-15.06503125,0
The Music Never Stopped,13.504065,4000000,7.3,67,-14.754296,0
Space Truckers,3.596317,25000000,5.6,15,-14.4869148,0
The Extra Man,3.18614,7000000,5.9,41,-14.44984429,0
Closet Land,1.456755,4000000,6.6,44,-14.44329992,0
While She Was Out,9.002146,6000000,4.8,38,-14.32919445,0
Parkland,6.71518,10000000,5.8,50,-14.29868385,0
Things to Do in Denver When You're Dead,4.486179,8000000,6.7,34,-14.10100686,0
Seraphim Falls,5.034585,18000000,6.4,55,-14.046305,0
Akira,10.888917,8000000,7.8,91,-13.46207411,0
Meet Bill,6.226054,5000000,5.9,20,-13.4261841,0
The Messengers,9.629399,16000000,5.6,11,-13.41883099,0
The Adventures of Pluto Nash,8.903754,100000000,4.4,5,-13.07663008,0
Antichrist,7.769607,11000000,6.4,54,-12.89122163,0
Monkeybone,8.893957,75000000,4.2,20,-12.86445407,0
The Monk,8.888718,11000000,5.8,65,-12.62170061,0
Prefontaine,2.93818,8000000,6.7,56,-12.57533633,0
Hard Eight,7.04756,3000000,6.8,82,-12.47957171,0
A Sound of Thunder,4.980191,80000000,4.8,6,-12.35639538,0
Mr. Nobody,11.817059,47000000,7.9,68,-12.24985362,0
Aferim!,2.214179,1379375,7.5,98,-12.12477997,0
Beowulf,7.745765,20000000,4.4,71,-12.06121596,0
The Lure,2.159038,1300000,6.1,69,-11.78810116,0
Ballerina,16.53732,30000000,7.1,75,-11.75857919,0
The Mudge Boy,7.137026,800000,7.3,77,-11.72831413,0
Heaven's Gate,4.393576,44000000,6.5,59,-11.62796215,0
Passengers,6.274736,25000000,5.7,19,-11.5,0
Bottle Rocket,6.904831,7000000,6.8,85,-11.49846001,0
Frankenhooker,5.097791,2500000,5.7,57,-11.19107808,0
Man of Tai Chi,11.829231,25000000,5.8,71,-11.16579941,0
The Sheltering Sky,13.798247,25000000,6.4,48,-11.04770506,0
Love,2.328321,3000000,5.2,60,-11.04417805,0
Bombay Velvet,1.377993,18000000,5.4,44,-11,0
Isn't She Great,0.907927,36000000,4.6,25,-10.98683047,0
Nobel Son,2.420823,4000000,6.4,26,-10.9792041,0
Death of a President,4.028906,2000000,5.7,39,-10.9760479,0
Marci X,4.15656,20000000,3.3,8,-10.93526788,0
Machine Gun Preacher,5.87767,30000000,6.4,28,-10.86753927,0
Josh and S.A.M.,0.768367,18000000,5,25,-10.7788482,0
Princess Kaiulani,1.818296,9000000,4.8,21,-10.66560164,0
Casino Jack,8.5508,12500000,6,39,-10.53473848,0
The Hand,2.12989,6500000,5.7,29,-10.46918495,0
The Face of Love,2.999052,4000000,5.9,43,-10.42837551,0
Infamous,5.169999,13000000,6.4,21,-10.2912892,0
3 Generations,4.626438,5000000,6.1,33,-10.26222515,0
Another Happy Day,3.496577,4000000,6.2,46,-10.24581094,0
The Zero Theorem,10.990614,8500000,5.9,48,-10.02884887,0
The Treatment,2.78291,900000,6,93,-9.882576994,0
Jimmy Vestvood: Amerikan Hero,1.216497,2500000,5.4,83,-9.866305326,0
Veronica Guerin,9.548519,17000000,6.8,53,-9.828591047,0
Me and Orson Welles,3.600917,25000000,6.6,85,-9.701266859,0
Behind the Burly Q,0.386717,250000,5.5,78,-9.478226246,0
BloodRayne,6.514132,25000000,3.6,4,-9.393195367,0
The City of Lost Children,9.822423,18000000,7.6,80,-9.35309221,0
Meet the Applegates,0.399156,5000000,5,9,-9.292894609,0
Son of the Pink Panther,3.372523,25000000,3.8,6,-9.254176424,0
The Iceman,13.132127,20000000,6.4,66,-9.156444797,0
Shooting Fish,1.631288,3000000,7,57,-8.927069132,0
Renaissance,9.746725,18000000,6.7,49,-8.828825543,0
Cutthroat Island,7.284477,98000000,5.7,39,-8.783053794,0
Black Dynamite,10.92143,2900000,7.3,83,-8.778895794,0
The Wild Bunch,11.722424,6244087,7.7,91,-8.777147098,0
Love in the Time of Cholera,5.20735,45000000,6.5,27,-8.766455827,0
The Innkeepers,8.560726,750000,5.4,79,-8.566814633,0
Steel,2.890462,16000000,4.2,12,-8.487502883,0
Silent Fall,3.034244,30000000,5.2,26,-8.431963163,0
Down in the Valley,11.448612,8000000,6,52,-8.380071101,0
Vanishing on 7th Street,8.419427,10000000,4.8,50,-8.357320513,0
